ABCG2,ACE,ADRB2,CACNA1S,CFTR,CYP2B6,CYP2C19,CYP2C9,CYP2D6,CYP3A4,CYP3A5,CYP4F2,DPYD,EGFR,G6PD,HLA-A,HLA-B,IFNL3,MT-RNR1,MTHFR,NAT2,NUDT15,RYR1,SLC19A1,SLCO1B1,TPMT,UGT1A1,VKORC1,drug,action,gene,phenotype,CYP2A6,CYP1A2
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,lornoxicam,ADAPTER_DOSE,CYP2C9,,,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,capecitabine,EVITER,DPYD,Neoplasms,,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,dexlansoprazole,ADAPTER_DOSE,CYP2C19,,,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,warfarin,EVITER,CYP2C9,over-anticoagulation,,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,atazanavir,EVITER,UGT1A1,"HIV infectious disease,Hyperbilirubinemia",,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,atazanavir / ritonavir,EVITER,UGT1A1,"HIV infectious disease,Hyperbilirubinemia",,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,azathioprine,ADAPTER_DOSE,TPMT,Dose reduction,,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,fluorouracil,EVITER,DPYD,Neoplasms,,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,warfarin,ADAPTER_DOSE,CYP4F2,,,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,gefitinib,EVITER,EGFR,Non-Small Cell Lung Carcinoma,,
