gene,drug,statut,action_proposee,source_utilisee
CYP2C9,warfarin,resolu,ADAPTER_DOSE,CPIC
TPMT,azathioprine,resolu,ADAPTER_DOSE,CPIC
DPYD,fluorouracil,resolu,EVITER,CPIC
CYP4F2,warfarin,resolu,ADAPTER_DOSE,CPIC
VKORC1,phenprocoumon,resolu,ADAPTER_DOSE,DPWG
NUDT15,mercaptopurine,resolu,ADAPTER_DOSE,CPIC
CYP2D6,hydrocodone,texte_ambigu,,CPIC
CYP2D6,tropisetron,texte_ambigu,,CPIC
CYP2D6,desipramine,resolu,EVITER,CPIC
CYP2C9,phenytoin,resolu,EVITER,CPIC
UGT1A1,irinotecan,resolu,ADAPTER_DOSE,DPWG
CYP2B6,efavirenz,resolu,ADAPTER_DOSE,CPIC
VKORC1,acenocoumarol,texte_ambigu,,DPWG
CYP2D6,amitriptyline,resolu,EVITER,CPIC
CYP2D6,clomipramine,resolu,EVITER,CPIC
CYP2D6,imipramine,resolu,EVITER,CPIC
CYP2D6,codeine,resolu,EVITER,CPIC
CYP2D6,nortriptyline,resolu,EVITER,CPIC
CYP2C19,lansoprazole,texte_ambigu,,CPIC
CYP2C19,clopidogrel,resolu,EVITER,CPIC
CYP2C19,pantoprazole,texte_ambigu,,CPIC
CYP2D6,atomoxetine,resolu,SURVEILLER,CPIC
CYP2D6,tamoxifen,resolu,EVITER,CPIC
CYP2C19,omeprazole,texte_ambigu,,CPIC
CYP2D6,tramadol,resolu,EVITER,CPIC
CYP2C9,fluvastatin,resolu,EVITER,CPIC
SLCO1B1,simvastatin,resolu,ADAPTER_DOSE,CPIC
SLCO1B1,lovastatin,texte_ambigu,,CPIC
SLCO1B1,atorvastatin,texte_ambigu,,CPIC
SLCO1B1,rosuvastatin,texte_ambigu,,CPIC
SLCO1B1,pravastatin,resolu,ADAPTER_DOSE,CPIC
ABCG2,allopurinol,resolu,ADAPTER_DOSE,DPWG
CYP2C19,citalopram,resolu,ADAPTER_DOSE,CPIC
TPMT,thioguanine,resolu,ADAPTER_DOSE,CPIC
CYP2D6,venlafaxine,resolu,ADAPTER_DOSE,CPIC
TPMT,mercaptopurine,resolu,ADAPTER_DOSE,CPIC
NAT2,hydralazine,resolu,ADAPTER_DOSE,CPIC
CYP2B6,nevirapine,aucun_fichier_trouve,,
CYP2C9,acenocoumarol,texte_ambigu,,DPWG
DPYD,capecitabine,resolu,EVITER,CPIC
CYP2C19,esomeprazole,texte_ambigu,,CPIC
CYP2C19,rabeprazole,texte_ambigu,,CPIC
CYP2D6,zuclopenthixol,resolu,EVITER,DPWG
CYP2C19,imipramine,resolu,EVITER,CPIC
CYP2D6,methylphenidate,texte_ambigu,,DPWG
CYP3A5,tacrolimus,resolu,ADAPTER_DOSE,CPIC
CYP2C9,gliclazide,texte_ambigu,,DPWG
CYP2C19,voriconazole,resolu,ADAPTER_DOSE,CPIC
ABCG2,rosuvastatin,texte_ambigu,,CPIC
CYP2C19,amitriptyline,resolu,EVITER,CPIC
CYP2C9,diclofenac,texte_ambigu,,CPIC
CYP2C9,indomethacin,texte_ambigu,,CPIC
CYP2D6,carvedilol,resolu,ADAPTER_DOSE,CPIC
CYP2D6,metoprolol,resolu,ADAPTER_DOSE,CPIC
CYP2D6,duloxetine,texte_ambigu,,CPIC
CYP2D6,ondansetron,texte_ambigu,,CPIC
G6PD,primaquine,resolu,EVITER,CPIC
CYP2C19,mavacamten,resolu,EVITER,DPWG
CYP1A2,clozapine,resolu,ADAPTER_DOSE,DPWG
CYP2D6,paroxetine,resolu,ADAPTER_DOSE,CPIC
CYP2C19,clomipramine,resolu,EVITER,CPIC
CYP3A4,atorvastatin,texte_ambigu,,CPIC
CYP3A4,fluvastatin,texte_ambigu,,CPIC
CYP3A4,simvastatin,texte_ambigu,,CPIC
CYP3A5,atorvastatin,texte_ambigu,,CPIC
CYP3A5,lovastatin,texte_ambigu,,CPIC
CYP3A5,rosuvastatin,texte_ambigu,,CPIC
CYP3A5,simvastatin,texte_ambigu,,CPIC
CYP2D6,haloperidol,resolu,EVITER,DPWG
CYP2D6,oxycodone,texte_ambigu,,CPIC
G6PD,nitrofurantoin,resolu,EVITER,CPIC
CYP2D6,bisoprolol,resolu,ADAPTER_DOSE,CPIC
CYP2D6,risperidone,resolu,ADAPTER_DOSE,DPWG
VKORC1,warfarin,resolu,ADAPTER_DOSE,CPIC
CYP2D6,propafenone,resolu,ADAPTER_DOSE,DPWG
RYR1,desflurane,resolu,EVITER,CPIC
RYR1,enflurane,resolu,EVITER,CPIC
RYR1,halothane,resolu,EVITER,CPIC
RYR1,isoflurane,resolu,EVITER,CPIC
RYR1,methoxyflurane,resolu,EVITER,CPIC
RYR1,sevoflurane,resolu,EVITER,CPIC
RYR1,succinylcholine,resolu,EVITER,CPIC
CYP2D6,fluvoxamine,resolu,EVITER,CPIC
G6PD,aspirin,resolu,EVITER,CPIC
VKORC1,fluindione,resolu,ADAPTER_DOSE,RNPGx
DPYD,tegafur,resolu,ADAPTER_DOSE,CPIC
CYP2C19,dexlansoprazole,texte_ambigu,,CPIC
NUDT15,thioguanine,resolu,ADAPTER_DOSE,CPIC
HLA-B,oxcarbazepine,resolu,EVITER,CPIC
CYP2D6,methadone,texte_ambigu,,CPIC
G6PD,dapsone,resolu,EVITER,CPIC
G6PD,methylene blue,resolu,EVITER,CPIC
G6PD,pegloticase,resolu,EVITER,CPIC
G6PD,rasburicase,resolu,EVITER,CPIC
G6PD,tafenoquine,resolu,EVITER,CPIC
G6PD,toluidine blue,resolu,EVITER,CPIC
CYP2D6,fluoxetine,texte_ambigu,,CPIC
CYP2D6,citalopram,texte_ambigu,,DPWG
CYP2D6,escitalopram,texte_ambigu,,DPWG
CYP2C19,escitalopram,resolu,ADAPTER_DOSE,CPIC
CYP2B6,sertraline,resolu,EVITER,CPIC
CYP2C19,sertraline,resolu,EVITER,CPIC
CYP2C19,prasugrel,texte_ambigu,,DPWG
HLA-A,carbamazepine,resolu,EVITER,CPIC
SLCO1B1,methotrexate,texte_ambigu,,RNPGx
SLCO1B1,fluvastatin,resolu,EVITER,CPIC
CYP2D6,mirtazapine,texte_ambigu,,DPWG
CYP2C19,moclobemide,texte_ambigu,,DPWG
G6PD,aminosalicylic acid,resolu,EVITER,CPIC
G6PD,chloramphenicol,resolu,EVITER,CPIC
G6PD,chloroquine,resolu,EVITER,CPIC
G6PD,ciprofloxacin,resolu,EVITER,CPIC
G6PD,dimercaprol,resolu,EVITER,CPIC
G6PD,doxorubicin,resolu,EVITER,CPIC
G6PD,furazolidone,resolu,EVITER,CPIC
G6PD,glyburide,resolu,EVITER,CPIC
G6PD,hydroxychloroquine,resolu,EVITER,CPIC
G6PD,mafenide,resolu,EVITER,CPIC
G6PD,nalidixic acid,resolu,EVITER,CPIC
G6PD,norfloxacin,resolu,EVITER,CPIC
G6PD,ofloxacin,resolu,EVITER,CPIC
G6PD,phenazopyridine,resolu,EVITER,CPIC
G6PD,quinine,resolu,EVITER,CPIC
G6PD,sulfadiazine,resolu,EVITER,CPIC
G6PD,sulfamethazine,resolu,EVITER,CPIC
G6PD,sulfamethoxazole,resolu,EVITER,CPIC
G6PD,sulfamethoxazole / trimethoprim,resolu,EVITER,CPIC
G6PD,sulfanilamide,resolu,EVITER,CPIC
G6PD,sulfasalazine,resolu,EVITER,CPIC
G6PD,sulfisoxazole,resolu,EVITER,CPIC
G6PD,tolbutamide,resolu,EVITER,CPIC
G6PD,vitamin c,resolu,EVITER,CPIC
G6PD,vitamin k and analogues,resolu,EVITER,CPIC
CYP1A2,olanzapine,texte_ambigu,,DPWG
CYP2C9,phenprocoumon,texte_ambigu,,DPWG
